측정ID,설비명,온도,진동,회전수,압력,상태
1,설비A,63.8,2.85,1612,3.83,정상
2,설비B,70.8,2.21,1497,4.49,정상
3,설비C,74.7,2.44,1635,5.28,정상
4,설비A,87.5,3.93,1605,4.97,점검필요
5,설비B,65.9,3.13,1481,4.74,정상
6,설비C,88.1,4.86,1549,5.26,점검필요
7,설비A,67.6,2.09,1402,5.37,정상
8,설비B,85.5,4.01,1401,5.39,점검필요
9,설비C,73.3,2.0,1527,5.07,정상
10,설비A,75.2,2.53,1581,5.04,정상
11,설비B,73.8,1.53,1461,4.72,정상
12,설비C,68.3,3.3,1396,5.58,정상
13,설비A,68.0,2.5,1570,5.43,정상
14,설비B,67.9,2.12,1602,4.89,정상
15,설비C,63.2,1.85,1559,5.09,정상
16,설비A,67.4,2.5,1575,4.81,정상
17,설비B,66.0,2.18,1454,4.28,정상
18,설비C,67.2,2.41,1557,5.27,정상
19,설비A,69.4,2.15,1490,3.99,정상
20,설비B,80.7,3.9,1547,4.46,점검필요
21,설비C,77.8,2.19,1588,4.44,정상
22,설비A,64.3,2.2,1600,3.96,정상
23,설비B,71.4,2.04,1326,5.04,정상
24,설비C,71.4,2.41,1692,4.86,정상
25,설비A,86.7,4.75,1663,5.5,점검필요
26,설비B,91.9,3.77,1423,4.44,점검필요
27,설비C,61.7,2.78,1473,4.12,정상
28,설비A,71.9,2.9,1739,6.75,정상
29,설비B,64.1,1.12,1532,4.51,정상
30,설비C,66.3,2.32,1627,5.09,정상
